Date,MaxT,WS_Name
26765,7,AALBORG
26766,,COPENHAGEN KASTRUP
26767,,SKAGEN
26770,,THYBOROEN
26772,12,AALBORG
26775,,THYBOROEN
26697,,SKAGEN
26698,7,AALBORG
26700,,THYBOROEN
26703,,COPENHAGEN KASTRUP
26703,5,AALBORG
26706,,COPENHAGEN KASTRUP
26709,,SKAGEN
26709,2,AALBORG
26711,,SKAGEN
26712,,SKAGEN
26712,,THYBOROEN
26719,2,AALBORG
26721,,COPENHAGEN KASTRUP
26722,,COPENHAGEN KASTRUP
26724,,COPENHAGEN KASTRUP
26729,,SKAGEN
26729,,COPENHAGEN KASTRUP
26730,,SKAGEN
26733,,THYBOROEN
26736,,COPENHAGEN KASTRUP
26736,,THYBOROEN
26739,,COPENHAGEN KASTRUP
26744,,SKAGEN
26747,,SKAGEN
26750,,THYBOROEN
26753,,COPENHAGEN KASTRUP
26753,12,AALBORG
26754,,COPENHAGEN KASTRUP
26673,-1,AALBORG
26678,,COPENHAGEN KASTRUP
26678,2,AALBORG
26680,,COPENHAGEN KASTRUP
26680,2,AALBORG
26683,0,AALBORG
26685,,SKAGEN
26691,,SKAGEN
26691,,THYBOROEN
26697,,COPENHAGEN KASTRUP
26702,7,AALBORG
26703,,SKAGEN
26704,,SKAGEN
26704,,THYBOROEN
26705,4,AALBORG
26710,,THYBOROEN
26712,2,AALBORG
26713,,THYBOROEN
26714,,COPENHAGEN KASTRUP
26715,9,AALBORG
26717,,COPENHAGEN KASTRUP
26718,,THYBOROEN
26718,5,AALBORG
26721,,SKAGEN
26724,7,AALBORG
26725,,THYBOROEN
26665,,COPENHAGEN KASTRUP
26669,,COPENHAGEN KASTRUP
26674,,COPENHAGEN KASTRUP
26676,,COPENHAGEN KASTRUP
26678,,SKAGEN
26679,,SKAGEN
26684,1,AALBORG
26687,,THYBOROEN
26690,,THYBOROEN
26728,,COPENHAGEN KASTRUP
26730,8,AALBORG
26731,,COPENHAGEN KASTRUP
26736,,SKAGEN
26738,,SKAGEN
26742,,THYBOROEN
26744,,THYBOROEN
26744,11,AALBORG
26746,,COPENHAGEN KASTRUP
26747,12,AALBORG
26748,,COPENHAGEN KASTRUP
26749,11,AALBORG
26753,,SKAGEN
26757,8,AALBORG
26758,7,AALBORG
26759,8,AALBORG
26763,,COPENHAGEN KASTRUP
26767,10,AALBORG
26770,,SKAGEN
26770,10,AALBORG
26772,,SKAGEN
26778,,COPENHAGEN KASTRUP
26780,,COPENHAGEN KASTRUP
26787,,SKAGEN
26790,,SKAGEN
26790,12,AALBORG
26791,,THYBOROEN
26793,,THYBOROEN
26777,,COPENHAGEN KASTRUP
26782,9,AALBORG
26785,,THYBOROEN
26785,,SKAGEN
26788,,THYBOROEN
26789,,COPENHAGEN KASTRUP
26792,,SKAGEN
26794,,SKAGEN
26797,,SKAGEN
26799,,SKAGEN
26802,,COPENHAGEN KASTRUP
26806,,THYBOROEN
26806,,SKAGEN
26807,,THYBOROEN
26807,14,AALBORG
26812,22,AALBORG
26813,,THYBOROEN
26815,,SKAGEN
26816,,SKAGEN
26817,,SKAGEN
26824,,SKAGEN
26827,,COPENHAGEN KASTRUP
26829,,THYBOROEN
26829,13,AALBORG
26830,15,AALBORG
26831,,THYBOROEN
26834,,COPENHAGEN KASTRUP
26835,,SKAGEN
26836,23,AALBORG
26755,,SKAGEN
26755,,THYBOROEN
26759,,SKAGEN
26759,,THYBOROEN
26761,,SKAGEN
26762,,SKAGEN
26763,8,AALBORG
26766,7,AALBORG
26768,,THYBOROEN
26771,,COPENHAGEN KASTRUP
26772,,COPENHAGEN KASTRUP
26779,,SKAGEN
26780,,SKAGEN
26786,,THYBOROEN
26786,13,AALBORG
26790,,COPENHAGEN KASTRUP
26790,,THYBOROEN
26791,,SKAGEN
26791,,COPENHAGEN KASTRUP
26800,,THYBOROEN
26801,,THYBOROEN
26802,14,AALBORG
26803,,COPENHAGEN KASTRUP
26804,,COPENHAGEN KASTRUP
26805,,THYBOROEN
26806,20,AALBORG
26808,18,AALBORG
26811,,SKAGEN
26838,,THYBOROEN
26841,,COPENHAGEN KASTRUP
26842,22,AALBORG
26845,,THYBOROEN
26847,26,AALBORG
26848,27,AALBORG
26851,28,AALBORG
26852,,COPENHAGEN KASTRUP
26858,20,AALBORG
26859,,COPENHAGEN KASTRUP
26860,,SKAGEN
26865,,THYBOROEN
26867,,SKAGEN
26867,20,AALBORG
26869,20,AALBORG
26870,,THYBOROEN
26871,,SKAGEN
26874,,SKAGEN
26874,,THYBOROEN
26877,,COPENHAGEN KASTRUP
26882,,THYBOROEN
26883,,COPENHAGEN KASTRUP
26884,,COPENHAGEN KASTRUP
26886,,SKAGEN
26888,,THYBOROEN
26891,,COPENHAGEN KASTRUP
26892,,SKAGEN
26895,,THYBOROEN
26779,,COPENHAGEN KASTRUP
26781,,COPENHAGEN KASTRUP
26781,9,AALBORG
26782,,THYBOROEN
26784,,THYBOROEN
26784,,COPENHAGEN KASTRUP
26785,,COPENHAGEN KASTRUP
26786,,SKAGEN
26788,,SKAGEN
26789,,THYBOROEN
26791,14,AALBORG
26796,,COPENHAGEN KASTRUP
26796,12,AALBORG
26798,,COPENHAGEN KASTRUP
26798,,THYBOROEN
26799,,THYBOROEN
26800,16,AALBORG
26805,,SKAGEN
26809,,THYBOROEN
26809,12,AALBORG
26811,,THYBOROEN
26813,,COPENHAGEN KASTRUP
26815,,COPENHAGEN KASTRUP
26816,15,AALBORG
26818,,THYBOROEN
26820,,SKAGEN
26822,,SKAGEN
26824,,THYBOROEN
26695,5,AALBORG
26698,,SKAGEN
26699,,COPENHAGEN KASTRUP
26699,,THYBOROEN
26700,,SKAGEN
26701,7,AALBORG
26702,,THYBOROEN
26703,,THYBOROEN
26704,5,AALBORG
26712,,COPENHAGEN KASTRUP
26714,,THYBOROEN
26718,,SKAGEN
26719,,SKAGEN
26719,,THYBOROEN
26721,,THYBOROEN
26721,2,AALBORG
26723,,SKAGEN
26723,,THYBOROEN
26727,,COPENHAGEN KASTRUP
26729,4,AALBORG
26731,8,AALBORG
26732,,SKAGEN
26733,,COPENHAGEN KASTRUP
26734,,SKAGEN
26735,,COPENHAGEN KASTRUP
26739,6,AALBORG
26742,,COPENHAGEN KASTRUP
26744,,COPENHAGEN KASTRUP
26793,,SKAGEN
26793,12,AALBORG
26794,11,AALBORG
26795,,COPENHAGEN KASTRUP
26795,,THYBOROEN
26798,9,AALBORG
26799,12,AALBORG
26804,,SKAGEN
26804,17,AALBORG
26810,,THYBOROEN
26812,,COPENHAGEN KASTRUP
26814,,COPENHAGEN KASTRUP
26815,18,AALBORG
26821,,SKAGEN
26824,,COPENHAGEN KASTRUP
26824,17,AALBORG
26827,,THYBOROEN
26829,,COPENHAGEN KASTRUP
26831,,COPENHAGEN KASTRUP
26834,22,AALBORG
26836,,SKAGEN
26838,,SKAGEN
26840,25,AALBORG
26842,,THYBOROEN
26846,,COPENHAGEN KASTRUP
26848,,COPENHAGEN KASTRUP
26852,,THYBOROEN
26853,18,AALBORG
26767,,THYBOROEN
26770,,COPENHAGEN KASTRUP
26776,,THYBOROEN
26777,,SKAGEN
26778,,SKAGEN
26780,9,AALBORG
26781,,SKAGEN
26783,,THYBOROEN
26785,14,AALBORG
26787,,COPENHAGEN KASTRUP
26788,15,AALBORG
26794,,COPENHAGEN KASTRUP
26794,,THYBOROEN
26797,,THYBOROEN
26801,17,AALBORG
26802,,THYBOROEN
26805,,COPENHAGEN KASTRUP
26806,,COPENHAGEN KASTRUP
26807,,COPENHAGEN KASTRUP
26808,,THYBOROEN
26809,,COPENHAGEN KASTRUP
26810,16,AALBORG
26811,16,AALBORG
26813,,SKAGEN
26814,,SKAGEN
26814,,THYBOROEN
26815,,THYBOROEN
26817,,THYBOROEN
26812,,SKAGEN
26814,21,AALBORG
26816,,THYBOROEN
26816,,COPENHAGEN KASTRUP
26819,,THYBOROEN
26821,,COPENHAGEN KASTRUP
26822,,COPENHAGEN KASTRUP
26822,24,AALBORG
26823,20,AALBORG
26825,,THYBOROEN
26825,14,AALBORG
26829,,SKAGEN
26830,,SKAGEN
26832,18,AALBORG
26833,,THYBOROEN
26836,,THYBOROEN
26839,,COPENHAGEN KASTRUP
26840,,COPENHAGEN KASTRUP
26844,,SKAGEN
26847,,SKAGEN
26848,,SKAGEN
26850,,THYBOROEN
26851,,THYBOROEN
26852,27,AALBORG
26854,,COPENHAGEN KASTRUP
26857,,COPENHAGEN KASTRUP
26861,,SKAGEN
26861,,COPENHAGEN KASTRUP
26817,,COPENHAGEN KASTRUP
26818,16,AALBORG
26820,,COPENHAGEN KASTRUP
26823,,COPENHAGEN KASTRUP
26828,,SKAGEN
26831,,SKAGEN
26834,,THYBOROEN
