id,tipo,clasificacion,descripcionresumida,responsable,calle,altura,letra,bis,coordenadax,coordenaday,GEOJSON
75016,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,ALEM LEANDRO N,4351,,0,5440319.65,6350203.71,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.638531, -32.989477 ] } }"
119621,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ROCA PTE. JULIO ARGENTINO,2785,,0,5439155.88004003,6352522.93537151,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.650828, -32.968502 ] } }"
119614,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,PARAGUAY,3371,,0,5439132.5522703,6351749.76689774,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.651129, -32.975471 ] } }"
119613,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,PARAGUAY,3302,,0,5439120.42919166,6351839.58872089,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.651253, -32.974661 ] } }"
119602,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,MITRE GENERAL BARTOLOME,3577,,0,5439473.44636014,6351414.51555645,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.647504, -32.978513 ] } }"
75015,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,ALDAO CAMILO,2351,,0,5434997.66,6353894.14,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.695208, -32.955899 ] } }"
75053,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,CAFFERATA JUAN MANUEL,2650,,0,5436738.53,6353183.61,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.676639, -32.962407 ] } }"
75054,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,CAFFERATA JUAN MANUEL,3550,,0,5436505.17,6352056.74,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.679212, -32.972554 ] } }"
75042,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,BIEDMA CRNEL. MANUEL,3351,,0,5436641.14,6351677.1,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.677784, -32.975985 ] } }"
75037,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,BALCARCE,5650,,0,5437993.33,6348697.88,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.663521, -33.002924 ] } }"
75056,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,CALLAO,2731,,0,5437769.26,6352889.37,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.665635, -32.965120 ] } }"
75076,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,COCHABAMBA,7451,,0,5432604.32,6354513.89,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.720758, -32.950166 ] } }"
75073,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,CHOELE-CHOEL,4450,,0,5436851.05,6350834.45,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.675597, -32.983594 ] } }"
75060,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,CARNOT NICOLAS SADI,6650,,0,5439415.21,6347404.86,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.648392, -33.014662 ] } }"
75072,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,SAAVEDRA CORNELIO,2650,,0,5437618.62,6351904.77,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.667313, -32.973988 ] } }"
